month,pct,quantity_of_plasters,rx_items,actual_cost,net_cost
2022-01-01,01X,12095.0,412,23483.376369999998,25087.749999999996
2022-01-01,03R,570.0,17,1165.184,1245.28
2022-01-01,06T,3620.0,112,7427.25158,7936.25
2016-12-01,D2P2L,11090.0,343,24785.889929999998,26763.80000000001
2016-12-01,52R,10660.0,304,23822.521050000003,25726.090000000004
2016-12-01,06N,4105.0,141,9176.933110000002,9906.710000000001
2016-12-01,11M,4750.0,159,10617.19314,11463.33
2020-10-01,02H,1080.0,34,2369.9893999999995,2552.09
2020-10-01,42D,4230.0,127,9458.02636,10186.67
2019-02-01,00X,2520.0,88,5650.88616,6081.6
2019-02-01,06L,7495.0,212,14985.423200000001,16134.940000000002
2015-12-01,00N,800.0,26,1783.8060999999998,1930.66
2015-12-01,11M,5025.0,167,11205.768670000001,12126.960000000001
2020-08-01,36L,13905.0,437,30638.929060000002,32936.54
2020-08-01,11M,3955.0,129,8395.55282,9025.25
2021-08-01,72Q,19680.0,607,42113.37778,44942.32000000001
2021-08-01,00T,2110.0,65,4538.33363,4860.46
2021-08-01,99E,605.0,18,1280.16453,1371.38
2021-08-01,M1J4Y,5585.0,159,11938.843700000001,12788.869999999999
2017-11-01,M2L0M,4730.0,139,10577.464450000001,11415.060000000001
2015-09-01,02A,2545.0,84,5882.58287,6359.119999999999
2015-09-01,03H,385.0,16,859.8978400000001,929.1400000000001
2018-12-01,15N,36280.0,1121,73945.75652,79636.99999999999
2020-01-01,84H,10235.0,365,22784.924740000002,24490.43
2020-01-01,07G,460.0,14,941.60294,1012.39
2020-01-01,03W,7380.0,218,16483.559530000002,17723.51
2020-07-01,01H,2465.0,89,5495.734909999999,5912.63
2021-06-01,03L,1760.0,65,3957.92652,4247.49
2021-06-01,06K,3045.0,92,6385.094950000001,6854.46
2021-06-01,D4U1Y,4425.0,147,9886.75552,10612.02
2015-06-01,27D,8580.0,282,19157.73698,20706.39
2015-06-01,01D,2355.0,69,5358.20121,5791.9800000000005
2018-03-01,A3A8R,9605.0,300,21435.509920000004,23104.08
2018-03-01,15A,6850.0,224,14543.8645,15676.98
2021-11-01,00Q,2650.0,82,5967.944820000001,6395.3099999999995
2021-11-01,02P,1525.0,44,2969.22388,3182.58
2017-10-01,26A,3455.0,103,7691.92158,8316.34
2017-06-01,06Q,5360.0,168,11970.99724,12935.490000000002
2017-06-01,78H,1565.0,49,3495.4612,3776.8599999999997
2018-02-01,70F,7955.0,233,17822.890450000006,19198.04
2018-02-01,01T,5020.0,166,11229.025129999998,12093.2
2017-08-01,03L,2820.0,92,6305.8933,6805.61
2016-03-01,15N,27890.0,840,62308.32372999999,67307.85
2021-09-01,42D,4740.0,149,10490.60054,11249.119999999999
2021-09-01,97R,4520.0,137,10133.054779999999,10864.81
2015-01-01,06N,2965.0,97,7083.92241,7655.07
2015-01-01,05Q,1020.0,37,2278.19485,2461.6000000000004
2021-01-01,03N,4875.0,139,10934.606050000002,11743.3
2017-01-01,01K,3055.0,108,6835.516030000001,7372.76
2018-11-01,84H,9990.0,351,22223.104610000002,23938.989999999998
2019-08-01,15N,40150.0,1233,81076.76597999998,87293.33
2019-08-01,02P,2130.0,56,4622.6440999999995,4977.49
2020-06-01,00Y,955.0,30,2032.5862700000002,2187.08
2016-06-01,00X,4030.0,142,9017.0242,9725.71
2020-12-01,B2M3M,4140.0,126,8537.9553,9178.5
2018-08-01,05V,885.0,30,1952.55488,2103.2
2015-04-01,03H,500.0,14,1116.4211599999999,1206.67
2015-04-01,11M,3580.0,115,7993.88455,8639.7
2016-07-01,06Q,5305.0,174,11866.016760000002,12802.76
2016-07-01,02Y,4170.0,126,9326.51138,10063.58
2016-07-01,99E,1245.0,35,2784.37729,3004.6
2020-11-01,99G,375.0,12,842.6393800000001,904.99
2016-02-01,03H,465.0,16,1039.31275,1122.2
2015-03-01,02H,1160.0,41,2590.62904,2799.46
2017-07-01,36L,20070.0,677,44841.49713,48435.57
2017-07-01,15N,34165.0,1072,76307.71981000001,82440.72999999998
2017-07-01,00Y,1535.0,55,3429.74221,3704.4700000000003
2017-07-01,00L,4445.0,160,9931.903030000001,10727.189999999999
2016-05-01,03W,5875.0,178,13130.724699999999,14178.33
2016-05-01,02E,2955.0,84,6604.02559,7131.41
2015-05-01,01E,5160.0,174,11528.17593,12452.73
2016-09-01,13T,7035.0,225,15730.221549999998,16977.77
2016-09-01,06Q,6200.0,193,13861.299850000001,14962.670000000002
2019-05-01,99F,330.0,9,739.89428,796.4000000000001
2015-02-01,99E,1050.0,28,2345.99084,2534.0000000000005
2016-04-01,02M,2290.0,74,5116.4053699999995,5526.530000000001
2019-09-01,99A,19680.0,659,43564.15733999999,46895.240000000005
2016-01-01,01D,1945.0,62,4346.03213,4693.910000000001
2015-10-01,16C,14050.0,483,31334.556750000003,33907.39
2015-10-01,15F,7695.0,234,17159.688290000002,18570.62
2015-07-01,16C,14755.0,501,33034.49039,35717.32000000001
2019-10-01,B2M3M,4095.0,127,8458.66936,9106.12
2019-10-01,00X,2840.0,86,6356.513790000001,6842.9800000000005
2018-09-01,M2L0M,2430.0,69,5443.7589499999995,5864.389999999999
2019-07-01,00P,2505.0,79,5621.6869,6045.400000000001
2018-07-01,97R,5850.0,189,13117.86561,14117.97
2019-12-01,W2U3Z,39490.0,1151,81604.69765000005,87628.00000000003
2019-12-01,97R,4900.0,153,10996.116479999999,11825.32
2019-12-01,06L,7890.0,212,15526.48862,16700.86
2019-05-01,15E,8610.0,278,19285.60549,20757.020000000004
